Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US
5.57,109.0,51.0,10.0,26.0,120.0,Medium,30.0,17.0,No,Yes
6.03,117.0,32.0,0.0,142.0,96.0,Bad,62.0,17.0,Yes,No
13.39,149.0,69.0,20.0,366.0,134.0,Good,60.0,13.0,Yes,Yes
10.61,157.0,93.0,0.0,51.0,149.0,Good,32.0,17.0,Yes,No
11.18,131.0,111.0,13.0,33.0,80.0,Bad,68.0,18.0,Yes,Yes
2.66,136.0,65.0,4.0,133.0,150.0,Bad,53.0,13.0,Yes,Yes
3.47,107.0,79.0,2.0,488.0,103.0,Bad,65.0,16.0,Yes,No
4.81,121.0,68.0,0.0,279.0,149.0,Good,79.0,12.0,Yes,No
4.88,121.0,47.0,3.0,220.0,107.0,Bad,56.0,16.0,No,Yes
7.63,93.0,117.0,9.0,489.0,83.0,Bad,42.0,13.0,Yes,Yes
4.36,125.0,41.0,2.0,357.0,123.0,Bad,47.0,14.0,No,Yes
8.73,129.0,99.4,16.0,58.0,121.0,Medium,69.0,12.0,Yes,Yes
11.54,134.0,44.0,4.0,219.0,126.0,Good,44.0,15.0,Yes,Yes
6.64,118.0,70.0,0.0,106.0,89.0,Bad,39.0,17.0,Yes,No
2.86,121.0,86.0,10.0,496.0,145.0,Bad,51.0,10.0,Yes,Yes
6.39,131.0,21.0,8.0,220.0,171.0,Good,29.0,14.0,Yes,Yes
6.71,106.0,73.0,0.0,216.0,93.0,Medium,60.0,13.0,Yes,No
12.61,118.0,90.0,10.0,54.0,104.0,Good,31.0,11.0,No,Yes
3.67,132.0,31.0,0.0,327.0,131.0,Medium,76.0,16.0,Yes,No
5.35,130.0,58.0,19.0,366.0,139.0,Bad,33.0,16.0,Yes,Yes
10.61,157.0,93.0,0.0,51.0,149.0,Good,32.0,17.0,Yes,No
11.48,121.0,120.0,13.0,140.0,87.0,Medium,56.0,11.0,Yes,Yes
7.95,128.0,66.0,3.0,493.0,119.0,Medium,45.0,16.0,No,No
8.7,150.0,84.0,9.0,432.0,134.0,Medium,64.0,15.0,Yes,No
9.58,108.0,104.0,23.0,353.0,129.0,Good,37.0,17.0,Yes,Yes
6.85,143.0,81.0,5.0,60.0,154.0,Medium,61.0,18.0,Yes,Yes
9.45,107.0,67.0,12.0,430.0,92.0,Medium,35.0,12.0,No,Yes
6.67,156.0,42.0,13.0,170.0,173.0,Good,74.0,14.0,Yes,Yes
5.12,123.0,36.0,10.0,467.0,100.0,Bad,74.0,11.0,No,Yes
4.74,137.0,60.0,4.0,230.0,140.0,Bad,25.0,13.0,Yes,No
10.0,114.0,43.0,0.0,199.0,88.0,Good,57.0,10.0,No,Yes
6.88,95.0,44.0,4.0,208.0,72.0,Bad,44.0,17.0,Yes,Yes
6.01,131.0,29.0,11.0,335.0,127.0,Bad,33.0,12.0,Yes,Yes
10.0,114.0,43.0,0.0,199.0,88.0,Good,57.0,10.0,No,Yes
4.95,121.0,41.0,5.0,412.0,110.0,Medium,54.0,10.0,Yes,Yes
7.22,114.0,113.0,2.0,129.0,151.0,Good,40.0,15.0,No,Yes
7.96,157.0,53.0,0.0,403.0,124.0,Bad,58.0,16.0,Yes,No
7.36,121.0,24.0,0.0,200.0,133.0,Good,73.0,13.0,Yes,No
10.26,111.0,75.0,1.0,377.0,108.0,Good,25.0,12.0,Yes,No
7.7,118.0,71.0,12.0,44.0,89.0,Medium,67.0,18.0,No,Yes
6.254,107.0,117.0,11.0,148.0,118.0,Good,52.0,18.0,Yes,Yes
14.9,139.0,32.0,0.0,176.0,82.0,Good,54.0,11.0,No,No
10.51,140.0,54.0,9.0,402.0,119.0,Good,41.0,16.0,No,Yes
0.16,102.0,33.0,0.0,217.0,139.0,Medium,70.0,18.0,No,No
8.44,128.0,42.0,8.0,328.0,107.0,Medium,35.0,12.0,Yes,Yes
14.37,95.0,106.0,0.0,256.0,53.0,Good,52.0,17.0,Yes,No
4.34,106.0,44.0,0.0,481.0,111.0,Medium,70.0,14.0,No,No
4.56,141.0,63.0,0.0,168.0,135.0,Bad,44.0,12.0,Yes,Yes
7.44,124.0,84.0,0.0,300.0,104.0,Medium,77.0,15.0,Yes,No
6.88,96.0,39.0,0.0,161.0,112.0,Good,27.0,14.0,No,No
10.77,111.0,58.0,17.0,407.0,103.0,Good,75.0,17.0,No,Yes
10.26,111.0,75.0,1.0,377.0,108.0,Good,25.0,12.0,Yes,No
0.53,122.0,88.0,7.0,36.0,159.0,Bad,28.0,17.0,Yes,Yes
9.5,138.0,73.0,11.0,276.0,120.0,Bad,42.0,17.0,Yes,Yes
11.7,144.0,69.0,11.0,131.0,104.0,Medium,47.0,11.0,Yes,Yes
6.15,146.0,68.0,12.0,328.0,132.0,Bad,51.0,14.0,Yes,Yes
5.68,130.0,64.0,0.0,40.0,106.0,Bad,39.0,17.0,No,No
10.01,133.0,52.0,16.0,290.0,99.0,Medium,43.0,11.0,Yes,Yes
4.11,113.0,69.0,11.0,94.0,106.0,Medium,76.0,12.0,No,Yes
8.47,125.0,103.0,0.0,304.0,112.0,Medium,49.0,13.0,No,No
4.47,143.0,120.0,7.0,279.0,147.0,Bad,40.0,10.0,No,Yes
4.42,121.0,90.0,0.0,150.0,108.0,Bad,75.0,16.0,Yes,No
8.71,149.0,95.0,5.0,400.0,144.0,Medium,76.0,18.0,No,No
14.9,139.0,32.0,0.0,176.0,82.0,Good,54.0,11.0,No,No
5.25,131.0,55.0,0.0,26.0,110.0,Bad,79.0,12.0,Yes,Yes
7.02,130.0,100.0,0.0,306.0,146.0,Good,42.0,11.0,Yes,No
6.88,95.0,44.0,4.0,208.0,72.0,Bad,44.0,17.0,Yes,Yes
8.61,130.0,38.0,0.0,283.0,102.0,Medium,80.0,15.0,Yes,No
10.44,124.0,115.0,16.0,458.0,105.0,Medium,62.0,16.0,No,Yes
8.75,143.0,77.0,25.0,448.0,156.0,Medium,43.0,17.0,Yes,Yes
10.08,116.0,72.0,10.0,456.0,130.0,Good,41.0,14.0,No,Yes
5.07,123.0,91.0,0.0,334.0,96.0,Bad,78.0,17.0,Yes,Yes
11.67,125.0,89.0,10.0,380.0,87.0,Bad,28.0,10.0,Yes,Yes
6.64,118.0,70.0,0.0,106.0,89.0,Bad,39.0,17.0,Yes,No
4.81,97.0,46.0,11.0,267.0,107.0,Medium,80.0,15.0,Yes,Yes
9.64,106.0,64.0,10.0,17.0,89.0,Medium,68.0,17.0,Yes,Yes
9.46,89.0,81.0,15.0,237.0,99.0,Good,74.0,12.0,Yes,Yes
12.98,113.0,33.0,0.0,14.0,63.0,Good,38.0,12.0,Yes,No
3.24,130.0,60.0,0.0,144.0,138.0,Bad,38.0,10.0,No,No
6.01,131.0,29.0,11.0,335.0,127.0,Bad,33.0,12.0,Yes,Yes
6.254,107.0,117.0,11.0,148.0,118.0,Good,52.0,18.0,Yes,Yes
3.47,107.0,79.0,2.0,488.0,103.0,Bad,65.0,16.0,Yes,No
4.1,130.0,28.0,6.0,410.0,133.0,Bad,72.0,16.0,Yes,Yes
9.24,126.0,80.0,19.0,436.0,126.0,Medium,52.0,10.0,Yes,Yes
10.77,111.0,58.0,17.0,407.0,103.0,Good,75.0,17.0,No,Yes
13.44,133.0,103.0,14.0,288.0,122.0,Good,61.0,17.0,Yes,Yes
9.46,89.0,81.0,15.0,237.0,99.0,Good,74.0,12.0,Yes,Yes
5.42,103.0,93.0,15.0,188.0,103.0,Bad,74.0,16.0,Yes,Yes
14.9,139.0,32.0,0.0,176.0,82.0,Good,54.0,11.0,No,No
11.7,131.0,67.0,7.0,272.0,126.0,Good,54.0,16.0,No,Yes
7.67,129.0,117.0,8.0,400.0,101.0,Bad,36.0,10.0,Yes,Yes
8.23,149.0,84.0,5.0,220.0,139.0,Medium,33.0,10.0,Yes,Yes
12.98,113.0,33.0,0.0,14.0,63.0,Good,38.0,12.0,Yes,No
11.19,122.0,69.0,7.0,303.0,105.0,Good,45.0,16.0,No,Yes
11.54,134.0,44.0,4.0,219.0,126.0,Good,44.0,15.0,Yes,Yes
6.5,108.0,69.0,3.0,208.0,94.0,Medium,77.0,16.0,Yes,No
8.89,122.0,76.0,0.0,270.0,100.0,Good,60.0,18.0,No,No
6.95,128.0,29.0,5.0,324.0,159.0,Good,31.0,15.0,Yes,Yes
7.8,100.0,67.0,12.0,184.0,104.0,Medium,32.0,16.0,No,Yes
5.81,125.0,111.0,0.0,404.0,107.0,Bad,54.0,15.0,Yes,No
7.56,110.0,119.0,0.0,384.0,97.0,Medium,72.0,14.0,No,Yes
4.55,111.0,56.0,0.0,504.0,110.0,Medium,62.0,16.0,Yes,No
8.69,113.0,64.0,10.0,68.0,101.0,Medium,57.0,16.0,Yes,Yes
4.78,131.0,32.0,1.0,85.0,133.0,Medium,48.0,12.0,Yes,Yes
14.37,95.0,106.0,0.0,256.0,53.0,Good,52.0,17.0,Yes,No
0.91,93.0,91.0,0.0,22.0,117.0,Bad,75.0,11.0,Yes,No
7.8,119.0,33.0,0.0,245.0,122.0,Good,56.0,14.0,Yes,No
7.8,136.0,48.0,12.0,326.0,125.0,Medium,36.0,16.0,Yes,Yes
0.53,122.0,88.0,7.0,36.0,159.0,Bad,28.0,17.0,Yes,Yes
15.63,122.0,36.0,5.0,369.0,72.0,Good,35.0,10.0,Yes,Yes
12.49,122.0,77.0,24.0,382.0,127.0,Good,36.0,16.0,No,Yes
9.95,132.0,33.0,7.0,35.0,97.0,Medium,60.0,11.0,No,Yes
6.68,107.0,25.0,0.0,412.0,82.0,Bad,36.0,14.0,Yes,No
9.0,128.0,62.0,7.0,125.0,116.0,Medium,43.0,14.0,Yes,Yes
6.8,137.0,117.0,5.0,337.0,135.0,Bad,38.0,10.0,Yes,Yes
3.9,114.0,83.0,0.0,412.0,131.0,Bad,39.0,14.0,Yes,No
5.73,141.0,33.0,0.0,243.0,144.0,Medium,34.0,17.0,Yes,No
1.82,139.0,45.0,0.0,146.0,133.0,Bad,77.0,17.0,Yes,Yes
8.19,127.0,103.0,0.0,125.0,155.0,Good,29.0,15.0,No,Yes
4.99,122.0,59.0,0.0,501.0,112.0,Bad,32.0,14.0,No,No
9.5,138.0,73.0,11.0,276.0,120.0,Bad,42.0,17.0,Yes,Yes
11.67,125.0,89.0,10.0,380.0,87.0,Bad,28.0,10.0,Yes,Yes
6.87,128.0,105.0,11.0,249.0,131.0,Medium,63.0,13.0,Yes,Yes
9.44,131.0,47.0,7.0,90.0,118.0,Medium,47.0,12.0,Yes,Yes
2.52,124.0,61.0,0.0,333.0,138.0,Medium,76.0,16.0,Yes,No
6.59,109.0,73.0,0.0,454.0,102.0,Medium,65.0,15.0,Yes,No
4.21,118.0,35.0,14.0,502.0,137.0,Medium,79.0,10.0,No,Yes
8.01,113.0,100.0,16.0,353.0,79.0,Bad,68.0,11.0,Yes,Yes
5.21,118.0,71.0,4.0,148.0,114.0,Medium,80.0,13.0,Yes,No
5.32,118.0,74.0,6.0,426.0,102.0,Medium,80.0,18.0,Yes,Yes
4.94,137.0,112.0,15.0,434.0,149.0,Bad,66.0,13.0,Yes,Yes
3.47,107.0,79.0,2.0,488.0,103.0,Bad,65.0,16.0,Yes,No
13.91,110.0,110.0,0.0,408.0,68.0,Good,46.0,17.0,No,Yes
8.33,107.0,115.0,11.0,496.0,131.0,Good,50.0,11.0,No,Yes
6.89,129.0,69.0,10.0,289.0,110.0,Medium,50.0,16.0,No,Yes
9.1,128.0,93.0,12.0,343.0,112.0,Good,73.0,17.0,No,Yes
11.82,113.0,66.0,16.0,322.0,74.0,Good,76.0,15.0,Yes,Yes
3.58,142.0,109.0,0.0,111.0,164.0,Good,72.0,12.0,Yes,No
7.8,121.0,50.0,0.0,508.0,98.0,Medium,65.0,11.0,No,No
5.58,134.0,25.0,10.0,237.0,148.0,Medium,59.0,13.0,Yes,Yes
5.93,150.0,36.0,7.0,488.0,150.0,Medium,25.0,17.0,No,Yes
8.21,127.0,44.0,13.0,160.0,123.0,Good,63.0,18.0,Yes,Yes
5.32,152.0,116.0,0.0,170.0,160.0,Medium,39.0,16.0,Yes,No
9.16,137.0,105.0,10.0,435.0,156.0,Good,72.0,14.0,Yes,Yes
13.39,149.0,69.0,20.0,366.0,134.0,Good,60.0,13.0,Yes,Yes
10.5,122.0,21.0,16.0,488.0,131.0,Good,30.0,14.0,Yes,Yes
3.02,98.0,21.0,11.0,326.0,90.0,Bad,76.0,11.0,No,Yes
6.68,107.0,25.0,0.0,412.0,82.0,Bad,36.0,14.0,Yes,No
6.67,156.0,42.0,13.0,170.0,173.0,Good,74.0,14.0,Yes,Yes
7.45,161.0,82.0,5.0,287.0,129.0,Bad,33.0,16.0,Yes,Yes
5.71,121.0,42.0,4.0,188.0,118.0,Medium,54.0,15.0,Yes,Yes
9.43,115.0,62.0,11.0,289.0,129.0,Good,56.0,16.0,No,Yes
5.16,115.0,60.0,0.0,119.0,114.0,Bad,38.0,14.0,No,No
9.32,141.0,34.0,16.0,361.0,108.0,Medium,69.0,10.0,Yes,Yes
6.14,139.0,23.0,3.0,37.0,120.0,Medium,55.0,11.0,No,Yes
6.53,154.0,30.0,0.0,122.0,162.0,Medium,57.0,17.0,No,No
5.04,123.0,114.0,0.0,298.0,151.0,Bad,34.0,16.0,Yes,No
12.57,138.0,108.0,17.0,203.0,128.0,Good,33.0,14.0,Yes,Yes
7.9,132.0,46.0,4.0,206.0,124.0,Medium,73.0,11.0,Yes,No
7.58,118.0,32.0,0.0,284.0,110.0,Good,63.0,13.0,Yes,No
9.53,175.0,65.0,29.0,419.0,166.0,Medium,53.0,12.0,Yes,Yes
6.1,153.0,63.0,0.0,49.0,124.0,Bad,56.0,16.0,Yes,No
6.88,119.0,100.0,5.0,45.0,108.0,Medium,75.0,10.0,Yes,Yes
10.81,124.0,113.0,13.0,501.0,72.0,Bad,78.0,16.0,No,Yes
8.32,122.0,102.0,19.0,469.0,123.0,Bad,29.0,13.0,Yes,Yes
5.07,123.0,91.0,0.0,334.0,96.0,Bad,78.0,17.0,Yes,Yes
11.85,136.0,81.0,15.0,425.0,120.0,Good,67.0,10.0,Yes,Yes
4.19,117.0,93.0,4.0,420.0,112.0,Bad,66.0,11.0,Yes,Yes
4.42,109.0,36.0,7.0,468.0,94.0,Bad,56.0,11.0,Yes,Yes
7.81,104.0,99.0,15.0,226.0,102.0,Bad,58.0,17.0,Yes,Yes
3.72,139.0,111.0,5.0,310.0,132.0,Bad,62.0,13.0,Yes,Yes
10.77,111.0,58.0,17.0,407.0,103.0,Good,75.0,17.0,No,Yes
4.95,121.0,28.0,19.0,315.0,121.0,Medium,66.0,14.0,Yes,Yes
4.68,124.0,46.0,0.0,199.0,135.0,Medium,52.0,14.0,No,No
9.01,121.0,78.0,9.0,150.0,100.0,Bad,26.0,10.0,No,Yes
2.99,103.0,74.0,0.0,359.0,97.0,Bad,55.0,11.0,Yes,Yes
6.18,120.0,70.0,15.0,464.0,110.0,Medium,72.0,15.0,Yes,Yes
4.47,143.0,120.0,7.0,279.0,147.0,Bad,40.0,10.0,No,Yes
15.63,122.0,36.0,5.0,369.0,72.0,Good,35.0,10.0,Yes,Yes
7.62,132.0,98.0,2.0,265.0,97.0,Bad,62.0,12.0,Yes,Yes
4.42,109.0,36.0,7.0,468.0,94.0,Bad,56.0,11.0,Yes,Yes
2.07,119.0,98.0,0.0,18.0,126.0,Bad,73.0,17.0,No,No
3.98,122.0,35.0,2.0,393.0,136.0,Medium,62.0,18.0,Yes,No
0.91,93.0,91.0,0.0,22.0,117.0,Bad,75.0,11.0,Yes,No
5.12,123.0,36.0,10.0,467.0,100.0,Bad,74.0,11.0,No,Yes
10.98,148.0,63.0,0.0,312.0,130.0,Good,63.0,15.0,Yes,No
4.53,129.0,42.0,13.0,315.0,130.0,Bad,34.0,13.0,Yes,Yes
7.62,132.0,98.0,2.0,265.0,97.0,Bad,62.0,12.0,Yes,Yes
5.94,100.0,79.0,7.0,284.0,95.0,Bad,50.0,12.0,Yes,Yes
4.88,121.0,47.0,3.0,220.0,107.0,Bad,56.0,16.0,No,Yes
7.64,128.0,78.0,0.0,341.0,128.0,Good,45.0,13.0,No,No
9.5,138.0,73.0,11.0,276.0,120.0,Bad,42.0,17.0,Yes,Yes
10.48,138.0,72.0,0.0,148.0,94.0,Medium,27.0,17.0,Yes,Yes
13.55,125.0,94.0,0.0,447.0,89.0,Good,30.0,12.0,Yes,No
7.57,112.0,88.0,2.0,243.0,99.0,Medium,62.0,11.0,Yes,Yes
10.66,104.0,71.0,14.0,89.0,81.0,Medium,25.0,14.0,No,Yes
12.66,148.0,76.0,3.0,126.0,99.0,Good,60.0,11.0,Yes,Yes
4.17,123.0,96.0,10.0,71.0,118.0,Bad,69.0,11.0,Yes,Yes
5.94,138.0,83.0,0.0,139.0,134.0,Medium,54.0,18.0,Yes,No
5.17,131.0,75.0,0.0,10.0,120.0,Bad,31.0,18.0,No,No
8.64,111.0,101.0,17.0,266.0,91.0,Medium,63.0,17.0,No,Yes
13.14,137.0,80.0,10.0,24.0,105.0,Good,61.0,15.0,Yes,Yes
5.36,135.0,110.0,0.0,112.0,117.0,Medium,80.0,16.0,No,No
2.67,115.0,54.0,0.0,406.0,128.0,Medium,42.0,17.0,Yes,Yes
2.05,131.0,82.0,0.0,132.0,157.0,Bad,25.0,14.0,Yes,No
7.22,114.0,113.0,2.0,129.0,151.0,Good,40.0,15.0,No,Yes
11.27,153.0,68.0,2.0,60.0,133.0,Good,59.0,16.0,Yes,Yes
10.36,107.0,105.0,18.0,428.0,103.0,Medium,34.0,12.0,Yes,Yes
6.56,117.0,42.0,7.0,144.0,111.0,Medium,62.0,10.0,Yes,Yes
4.99,122.0,59.0,0.0,501.0,112.0,Bad,32.0,14.0,No,No
7.62,132.0,98.0,2.0,265.0,97.0,Bad,62.0,12.0,Yes,Yes
6.67,107.0,119.0,11.0,210.0,132.0,Medium,53.0,11.0,Yes,Yes
8.86,145.0,30.0,0.0,67.0,104.0,Medium,55.0,17.0,Yes,No
6.23,112.0,38.0,17.0,316.0,104.0,Medium,80.0,16.0,Yes,Yes
8.39,115.0,97.0,5.0,134.0,84.0,Bad,55.0,11.0,Yes,Yes
9.71,134.0,37.0,0.0,27.0,120.0,Good,49.0,16.0,Yes,Yes
10.62,116.0,79.0,19.0,359.0,116.0,Good,58.0,17.0,Yes,Yes
4.47,143.0,120.0,7.0,279.0,147.0,Bad,40.0,10.0,No,Yes
8.39,115.0,97.0,5.0,134.0,84.0,Bad,55.0,11.0,Yes,Yes
10.71,109.0,22.0,10.0,348.0,79.0,Good,74.0,14.0,No,Yes
9.43,115.0,62.0,11.0,289.0,129.0,Good,56.0,16.0,No,Yes
0.37,147.0,58.0,7.0,100.0,191.0,Bad,27.0,15.0,Yes,Yes
12.3,146.0,62.0,10.0,310.0,94.0,Medium,30.0,13.0,No,Yes
7.64,128.0,78.0,0.0,341.0,128.0,Good,45.0,13.0,No,No
9.71,134.0,37.0,0.0,27.0,120.0,Good,49.0,16.0,Yes,Yes
4.99,122.0,59.0,0.0,501.0,112.0,Bad,32.0,14.0,No,No
3.42,141.0,57.0,13.0,376.0,158.0,Medium,64.0,18.0,Yes,Yes
6.254,107.0,117.0,11.0,148.0,118.0,Good,52.0,18.0,Yes,Yes
8.31,133.0,97.0,0.0,70.0,117.0,Medium,32.0,16.0,Yes,No
5.05,125.0,67.0,0.0,86.0,117.0,Bad,65.0,11.0,Yes,No
9.54,125.0,87.0,9.0,232.0,136.0,Good,72.0,10.0,Yes,Yes
11.07,131.0,84.0,11.0,29.0,96.0,Medium,44.0,17.0,No,Yes
9.08,152.0,81.0,0.0,191.0,126.0,Medium,54.0,16.0,Yes,No
8.77,144.0,63.0,11.0,27.0,117.0,Medium,47.0,17.0,Yes,Yes
10.5,122.0,21.0,16.0,488.0,131.0,Good,30.0,14.0,Yes,Yes
10.51,140.0,54.0,9.0,402.0,119.0,Good,41.0,16.0,No,Yes
5.83,134.0,82.0,7.0,473.0,112.0,Bad,51.0,12.0,No,Yes
8.25,136.0,58.0,16.0,241.0,131.0,Medium,44.0,18.0,Yes,Yes
7.78,86.0,54.0,0.0,497.0,64.0,Bad,33.0,12.0,Yes,No
12.57,138.0,108.0,17.0,203.0,128.0,Good,33.0,14.0,Yes,Yes
